ncppb_number	snapshot_status	v1_current_name	v2_current_name	v1_other_references	v2_other_references	name_changed	other_references_changed
NCPPB 45	present_in_both	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	Xanthomonas campestris pv. campestris (Pammel 1895) Dowson 1939	This isolate was isolated by W.J. Dowson	This isolate was isolated by W.J. Dowson	no	no
NCPPB 101	present_in_both	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	Xanthomonas cassavae (ex Wiehe & Dowson 1953) Vauterin et al. 1995	This isolate is also in the collections; ICMP 204, LMG 673, DSM 18958	This isolate is also in the collections; ICMP 204, LMG 673, DSM 18958	no	no
NCPPB 109	present_in_both	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995	Xanthomonas axonopodis pv. begoniae (Takimoto 1934) Vauterin et al. 1995			no	no
NCPPB 113	present_in_both	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995	Xanthomonas axonopodis pv. ricini (Yoshi & Takimoto 1928) Vauterin et al. 1995			no	no
NCPPB 151	present_in_both	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978	Xanthomonas campestris pv. papavericola (Bryan and McWhorter 1930) Dye 1978			no	no
NCPPB 174	present_in_both	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			no	no
NCPPB 181	present_in_both	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			no	no
NCPPB 182	present_in_both	Xanthomonas sp. (Cobb 1893) Vauterin et al. 1995	Xanthomonas sp. (Cobb 1893) Vauterin et al. 1995	This isolate is also in the collections; ATCC 13901, ICMP 305, LMG 896 The source of this isolate was ex M.T. Cook	This isolate is also in the collections; ATCC 13901, ICMP 305, LMG 896 The source of this isolate was ex M.T. Cook	no	no
NCPPB 184	present_in_both	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	This isolate is also in the collections; ATCC 13902, ICPB XV101	This isolate is also in the collections; ATCC 13902, ICPB XV101	no	no
NCPPB 185	present_in_both	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995	Xanthomonas axonopodis pv. vasculorum (Cobb 1893) Vauterin et al. 1995			no	no
